Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.115823845803328,0.0844461093702982,0.0471980144973141,0,0,0,3.17049103377095,0.00756848298117278,-5.47577884760056E-07,-1.15986515098171E-05,0.00567333147151148,-3.00885497222187E-07,0.0125111608554953,0,0,0,0,0,0,package://lide/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://lide/meshes/base_link.STL,,Body_long-1,body,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
LFS,0.0455604268709419,0.00830943309140329,0.00297622851896683,0,0,0,0.0727928435161987,2.20927876796313E-05,-1.64845302056344E-08,-1.56454773175211E-07,1.62632133784213E-05,2.96411876511627E-09,1.80843397531752E-05,0,0,0,0,0,0,package://lide/meshes/LFS.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://lide/meshes/LFS.STL,,Sus_L-1,Origin_LFS,Axis_LFS,LFS,fixed,-0.0540436140506678,0.200153640036847,-0.0365027479853971,1.5707963267949,0,1.5707963267949,base_link,0,0,0,,,,,,,,,,,,
LFW,0.015,0,2.60208521396521E-18,0,0,0,0.767080911081153,0.00116426102407189,-1.25105048588129E-22,-1.83311841364852E-20,0.000639661580367031,-3.3881317890172E-21,0.000639661580367032,0,0,0,0,0,0,package://lide/meshes/LFW.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://lide/meshes/LFW.STL,,wheel-1,Origin_LFW,Axis_LFW,LFW,continuous,0.063346,-0.006798,0.015044,-1.6264,0,0,LFS,1,0,0,3.1,7,,,,,,,,,,
RFS,-0.0191828308457407,-0.00900932874707057,0.0520056318885905,0,0,0,0.0727928435161986,2.20927876796313E-05,-1.6484530205632E-08,1.56454773175213E-07,1.62632133784213E-05,-2.96411876510631E-09,1.80843397531752E-05,0,0,0,0,0,0,package://lide/meshes/RFS.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://lide/meshes/RFS.STL,,Sus_R-1,Origin_RFS,,RFS,fixed,-0.10307,-0.060531,-0.019216,1.5708,0,1.5708,base_link,0,0,0,,,,,,,,,,,,
RFW,-0.015,1.0842021724855E-19,0,0,0,0,0.767080911081152,0.00116426102407189,-5.99355756097365E-37,4.60638074444741E-39,0.000639661580367031,-2.21718708608611E-36,0.000639661580367031,0,0,0,0,0,0,package://lide/meshes/RFW.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://lide/meshes/RFW.STL,,wheel-2,Origin_RFW,Axis_RFW,RFW,continuous,-0.036969,-0.024084,0.064073,0,0,0,RFS,1,0,0,3.1,7,,,,,,,,,,
LBS,0,-0.045029,0,0,0,0,0.44204,0.00028466,-1.2482E-22,-6.2053E-22,0.00017531,1.5658E-21,0.0002841,0,0,0,0,0,0,package://lide/meshes/LBS.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://lide/meshes/LBS.STL,,ball_sus_all-1,Origin_LBS,,LBS,fixed,-0.202,0.24575,-0.013226,1.5708,0,1.5708,base_link,0,0,0,,,,,,,,,,,,
RBS,6.93889390390723E-18,-0.0450291457089084,0,0,0,0,0.442042052280736,0.00028466325059699,-1.24713258277564E-21,-4.8787092274987E-23,0.000175308591947339,1.5657649315804E-21,0.000284100534303298,0,0,0,0,0,0,package://lide/meshes/RBS.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://lide/meshes/RBS.STL,,ball_sus_all-2,Origin_RBS,,RBS,fixed,-0.202,-0.07975,-0.013226,1.5708,0,1.5708,base_link,0,0,0,,,,,,,,,,,,
fcam,-0.011554,-2.6443E-06,0.0012903,0,0,0,0.043612,2.3571E-05,-1.0184E-09,2.1759E-08,4.2948E-06,-8.8502E-10,2.2106E-05,0,0,0,0,0,0,package://lide/meshes/fcam.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://lide/meshes/fcam.STL,,Webcam_C920-2,fcam,,fcam,fixed,-0.0038823,0.083,0.12982,0,0.2618,0,base_link,0,0,0,,,,,,,,,,,,
bcam,-0.020103,-2.6435E-06,-0.0072587,0,0,0,0.043612,2.3571E-05,-1.0183E-09,2.1758E-08,4.2948E-06,-8.8548E-10,2.2106E-05,0,0,0,0,0,0,package://lide/meshes/bcam.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://lide/meshes/bcam.STL,,Webcam_C920-1,bcam,,bcam,fixed,0,0.083,0.091232,0,0.7854,0,base_link,0,0,0,,,,,,,,,,,,
Lidar,0.013523,0.00046196,-0.028765,0,0,0,0.073085,1.9581E-05,-1.0393E-07,-4.2839E-07,2.4125E-05,9.4271E-09,4.1418E-05,0,0,0,0,0,0,package://lide/meshes/Lidar.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://lide/meshes/Lidar.STL,,RPLidar-1,Lidar,,Lidar,fixed,-0.13458,0.082006,0.2065,0,0,0,base_link,0,0,0,,,,,,,,,,,,
